audio,state,output 0,state,flag,username,timestamp
c:\Users\vedan\OneDrive\Documents\Code Practice\Web development\web extension\ipdproject2\flagged\audio\e1ce04550667416ea8adfb4144878ce82690be41\tmpubnoye67.wav,,,,,,2023-08-20 17:54:40.920675
c:\Users\vedan\OneDrive\Documents\Code Practice\Web development\web extension\ipdproject2\flagged\audio\675a094c251441b006ee174dba45b798f46caf01\tmp0qgyvr_v.wav,,,,,,2023-08-20 17:54:43.352598
,,,,,,2023-08-20 17:58:13.571960
